Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,EAST SUSSEX COUNTY COUNCIL,1041116006,310000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,TOGETHER FOR CHILDREN SUNDERLAND,1041116016,95082,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DURHAM COUNTY COUNCIL,1041116055,110000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,YORK CITY COUNCIL,1041116056,260000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BATH & NORTH EAST SOMERSET COUNCIL,1041116086,192000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NOTTINGHAM CITY COUNCIL,1041116087,150000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SUFFOLK COUNTY COUNCIL,1041116088,180000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF CAMDEN,1041116102,350000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,STOCKPORT MBC,1041116104,360000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOLIHULL MBC,1041116106,150000,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOUTH TYNESIDE,1041116110,188810,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF RICHMOND UPON THAMES,1041116111,310690,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,1041116113,74213,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH TYNESIDE,1041116114,188810,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,1041116116,74212,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF EALING COUNCIL,1041116173,138725,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ESSEX COUNTY COUNCIL,1041116174,430416,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HAMPSHIRE COUNTY COUNCIL,1041116176,325619,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH YORKSHIRE COUNTY COUNCIL,1041116184,222487.32,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,1041116185,305602.97,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LINCOLNSHIRE COUNTY COUNCIL,1041116204,60238.73,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
