Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,EAST SUSSEX COUNTY COUNCIL,CL044596,"577,433.80 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,ENFIELD LONDON BOROUGH COUNCIL,CL044597,"94,885.10 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,ESSEX COUNTY COUNCIL,CL044598,"2,842,143.38 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,Gloucestershire County Council,CL044600,"803,479.91 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,GREENWICH LONDON BOROUGH COUNCIL,CL044601,"481,399.55 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,HALTON BOROUGH COUNCIL,CL044602,"30,909.33 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,HARROW LONDON BOROUGH COUNCIL,CL044603,"475,805.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,HERTFORDSHIRE COUNTY COUNCIL,CL044604,"1,703,355.07 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,HOUNSLOW LONDON BOROUGH COUNCIL,CL044605,"325,944.27 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,KENT COUNTY COUNCIL,CL044606,"2,393,835.27 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,KINGSTON UPON HULL CITY COUNCIL,CL044607,"921,983.34 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,LANCASHIRE COUNTY COUNCIL,CL044609,"775,433.46 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,LEEDS CITY COUNCIL,CL044610,"454,502.53 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,LEICESTER CITY COUNCIL,CL044611,"187,555.08 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,LEICESTERSHIRE COUNTY COUNCIL,CL044612,"1,049,152.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,LINCOLNSHIRE COUNTY COUNCIL,CL044613,"690,773.64 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,LIVERPOOL CITY COUNCIL,CL044614,"687,306.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,London Borough of Sutton,CL044647,"567,282.77 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,MANCHESTER CITY COUNCIL,CL044615,"513,779.44 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,Middlesbrough Council,CL044616,"195,347.51 ",Capital grants - Local Government,,,,,,,,,
