Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,08/02/2022,IS/IT,Data,Nexer Digital Ltd,CORE-PINV-032157,"30,030.00",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,16/02/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-032688,"105,467.64",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,16/02/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-032690,"64,698.00",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Data,SOL-TEC LIMITED,CORE-PINV-032126,"63,680.64",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Data,HIVE IT LIMITED,CORE-PINV-032136,"70,536.00",Systems Operations,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Data,RM EDUCATION PLC,CORE-PINV-032105,"463,164.00",Systems Operations,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Data,CADENCE INNOVA,CORE-PINV-032081,"172,540.00",Systems Operations,,,,,,,,,
Department for Education,Core,04/02/2022,Consultancy,"Planning, Performance and Risk",The Natural History Museum Trading Company Limited ,CORE-PINV-032054,"29,020.25",Consultancy - PPM,,,,,,,,,
Department for Education,Core,22/02/2022,Other Goods & Services,Capital Directorate,Arcadis LLP,D-PINV043374,"52,760.40",Professional Services,,,,,,,,,
Department for Education,Core,22/02/2022,Office Costs,Capital Directorate,Dentons UK and Middle East LLP,D-PINV043392,"26,346.00",Office related,,,,,,,,,
Department for Education,Core,09/02/2022,Other Goods & Services,Capital Directorate,Faithful & Gould,D-PINV043139,"35,975.70",Professional Services,,,,,,,,,
Department for Education,Core,25/02/2022,Office Costs,Capital Directorate,Rexel UK Ltd,D-PINV043249,"1,651,104.00",ICT Equipment/Hardware ,,,,,,,,,
Department for Education,Core,22/02/2022,Office Costs,Capital Directorate,Rexel UK Ltd,D-PINV043250,"53,796.15",ICT Equipment/Hardware ,,,,,,,,,
Department for Education,Core,22/02/2022,Office Costs,Capital Directorate,Rexel UK Ltd,D-PINV043258,"425,729.47",ICT Equipment/Hardware ,,,,,,,,,
