Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DORSET COUNCIL,CORE-MAIN-014674,54877.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DUDLEY METRO BOROUGH COUNCIL,CORE-MAIN-014675,67789.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DURHAM COUNTY COUNCIL,CORE-MAIN-014676,51648.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,EALING LONDON BOROUGH COUNCIL,CORE-MAIN-014677,52455.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,EAST RIDING OF YORKSHIRE COUNCIL,CORE-MAIN-014678,41157.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,EAST SUSSEX COUNTY COUNCIL,CORE-MAIN-014679,74245.25,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,ENFIELD LONDON BOROUGH COUNCIL,CORE-MAIN-014680,66175.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,ESSEX COUNTY COUNCIL,CORE-MAIN-014681,137999.25,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,GATESHEAD COUNCIL,CORE-MAIN-014682,57298.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,Gloucestershire County Council,CORE-MAIN-014683,90385.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,GREENWICH LONDON BOROUGH COUNCIL,CORE-MAIN-014684,79087.25,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,HACKNEY LONDON BOROUGH COUNCIL,CORE-MAIN-014685,63754.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,HAMMERSMITH & FULHAM LONDON BOROUGH COUNCIL,CORE-MAIN-014687,52455.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,HAMPSHIRE COUNTY COUNCIL,CORE-MAIN-014688,171893.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,HARINGEY LONDON BOROUGH COUNCIL,CORE-MAIN-014689,58105.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,HARTLEPOOL BOROUGH COUNCIL,CORE-MAIN-014691,33087.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,HAVERING LONDON BOROUGH COUNCIL,CORE-MAIN-014692,29859.50,Grants to local authorities
