Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,Gloucestershire County Council,CL055534,"803,479.91",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,GREENWICH LONDON BOROUGH COUNCIL,CL055535,"481,399.55",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,HALTON BOROUGH COUNCIL,CL055536,"30,909.33",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,HARROW LONDON BOROUGH COUNCIL,CL055537,"475,805.92",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,HERTFORDSHIRE COUNTY COUNCIL,CL055538,"1,703,355.07",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,HOUNSLOW LONDON BOROUGH COUNCIL,CL055539,"325,944.27",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,KENT COUNTY COUNCIL,CL055540,"2,393,835.27",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,KINGSTON UPON HULL CITY COUNCIL,CL055541,"921,983.34",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,CL055542,"89,477.24",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,LANCASHIRE COUNTY COUNCIL,CL055543,"775,433.46",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,LEEDS CITY COUNCIL,CL055544,"454,502.53",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,LEICESTER CITY COUNCIL,CL055545,"187,555.08",Capital grants - Local Government
