Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Sherborne Area Schools' Trust,CUPS0040734,"25,741.47",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,SHROPSHIRE COUNCIL,CUPS0040215,"27,256.32",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,SHROPSHIRE COUNCIL,CUPS0041386,"26,158.03",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,SHROPSHIRE COUNCIL,CUPS0041389,"25,102.21",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,SOMERSET COUNTY COUNCIL,CUPS0042285,"71,106.76",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,St Augustine's Catholic Primary and Nursery School,CUPS0041402,"51,442.18",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,St Edward's CofE Primary School,CUPS0041515,"28,742.19",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,"St Mary's Church of England Middle School, Puddlet",CUPS0041509,"99,671.31",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,St Matthew's Church of England Primary and Nursery,CUPS0041517,"42,228.46",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,St Matthew's Church of England Primary and Nursery,CUPS0041520,"28,285.23",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,SURREY COUNTY COUNCIL,CUPS0041423,"26,890.19",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,The Beech Academy,CUPS0042282,"40,548.10",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,The Brunts Academy,CUPS0042281,"55,084.39",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,The Ted Wragg Multi Academy Trust,CUPS0040879,"136,948.11",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,The Ted Wragg Multi Academy Trust,CUPS0041390,"80,757.68",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,THE THINKING SCHOOLS ACADEMY TRUST,CUPS0040754,"158,015.48",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,The Two Counties Trust,CUPS0040883,"27,529.78",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Tor Bridge High,CUPS0041508,"184,806.72",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Truro & Penwith Academy Trust,CUPS0041419,"33,495.00",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Westcountry Schools Trust,CUPS0040855,"80,703.14",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Westcountry Schools Trust,CUPS0040862,"72,541.06",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Westcountry Schools Trust,CUPS0040865,"68,584.46",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Westcountry Schools Trust,CUPS0041494,"94,190.88",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Westcountry Schools Trust,CUPS0041496,"121,378.02",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Whitchurch CE Infant & Nursery Academy,CUPS0040230,"52,569.20",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Whitchurch CE Junior Academy,CUPS0040223,"69,328.77",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Woodside Primary School,CUPS0040839,"40,684.77",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,30/03/2022,Other Goods & Services,Digital and Technology,United Church Schools Trust,CORE-PINV-035249,"151,099.87",Professional Services,,,,,,,,,
Department for Education,Core,10/03/2022,Other Goods & Services,Digital and Technology,ENGINE GROUP LTD,CORE-PINV-033961,"97,675.20",Professional Services,,,,,,,,,
Department for Education,Core,24/03/2022,Other Goods & Services,Digital and Technology,FRONTIER ECONOMICS LTD,CORE-PINV-034414,"26,333.00",Research & Evaluation,,,,,,,,,
Department for Education,Core,24/03/2022,Other Goods & Services,Digital and Technology,FRONTIER ECONOMICS LTD,CORE-PINV-034703,"26,666.33",Research & Evaluation,,,,,,,,,
Department for Education,Core,30/03/2022,Other Goods & Services,Digital and Technology,NATIONAL FOUNDATION FOR EDUCATIONAL RESEARCH NFER,CORE-PINV-035220,"28,940.00",Research & Evaluation,,,,,,,,,
Department for Education,Core,31/03/2022,Other Goods & Services,Digital and Technology,WE ARE SNOOK LTD,CORE-PINV-035066,"36,864.00",Professional Services,,,,,,,,,
