Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Ss,Alexander Mann Solutions Ltd,372789,295.56,Mf Devolved Admin-other Professional Services,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy And Security - Nuclear Directorate - Ss,"Personal Expense, Name Withheld",373130,26.8,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Accounting Services,Energy And Security - Nuclear Directorate - Ss,Government Actuarys Department,373077,5986.57,Nuclear Liabilities Fund - Legal Advice-accounting Services,EC1A 1AB,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Stationery,Energy And Security - Nuclear Directorate - Ss,"Personal Expense, Name Withheld",371352,31.94,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Translation Services,Energy And Security - Nuclear Directorate - Ss,Fcdo Services,371391,435.96,Mf Devolved Admin-translation Services,MK19 7BH,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Business Rates,Energy And Security - Nuclear Directorate - Ss,National Nuclear Laboratory Ltd,372579,47814.46,Nuclear Innovation And Research Office (Niro)-Business Rates,WA3 6AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Personnel-related Expenditure,Energy And Security - Nuclear Directorate - Ss,National Nuclear Laboratory Ltd,372854,1800,Mf Devolved Admin-personnel-related Expenditure,WA3 6AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Utilisation Of Provisions - British Energy,Energy And Security - British Energy Historic Payments,Nuclear Decommissioning Authority,369474,-257089.27,British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy,CA24 3HW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Utilisation Of Provisions - British Energy,Energy And Security - British Energy Historic Payments,Nuclear Decommissioning Authority,369474,2836178.54,British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy,CA24 3HW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Utilisation Of Provisions - British Energy,Energy And Security - British Energy Historic Payments,Nuclear Decommissioning Authority,369476,9508329.59,British Energy Historic Liabilities Funding-utilisation Of Provisions - British Energy,CA24 3HW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy And Security - Nuclear Directorate - Ss,"Personal Expense, Name Withheld",372926,71.99,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,Energy And Security - Nuclear Directorate - Hsq,"Personal Expense, Name Withheld",371867,147.4,Eu Exit Core Beis Staff: Euratom Workstream Adm-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Stationery,Energy Transformation And Clean Growth - Clean Growth,"Personal Expense, Name Withheld",371150,170.97,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Stationery,Energy Transformation And Clean Growth - Clean Growth,"Personal Expense, Name Withheld",371881,73.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Grant-in-aid To Arms Length Bodies,Energy Transformation And Clean Growth - Clean Growth,The Committee On Climate Change,371387,141821,Committee On Climate Change Grant In Aid Payments-grant-in-aid To Arms Length Bodies,SW1W 8NR,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Consultancy Expenditure,Energy And Security - Clean Power Strategy And Deployment,Alexander Mann Solutions Ltd,369975,9928.87,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Consultancy Expenditure,Energy And Security - Clean Power Strategy And Deployment,Alexander Mann Solutions Ltd,370811,2562.29,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Consultancy Expenditure,Energy And Security - Clean Power Strategy And Deployment,Alexander Mann Solutions Ltd,371729,4804.3,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Consultancy Expenditure,Energy And Security - Clean Power Strategy And Deployment,Alexander Mann Solutions Ltd,372908,2562.29,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy And Security - Clean Power Strategy And Deployment,"Personal Expense, Name Withheld",371872,152.1,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,External Legal Advice And Service,Energy And Security - Clean Power Strategy And Deployment,Dentons Uk And Middle East Llp,372677,16630.4,Renewable Energy Development Support-external Legal Advice And Service,EC4M 7WS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Stationery,Energy And Security - Clean Power Strategy And Deployment,"Personal Expense, Name Withheld",373145,28.99,Eu Exit: State Aid Regime Adm-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Publications,Energy And Security - Energy Development And Resilience,Dc Thomson And Company Ltd,370773,-4837.5,Mf Devolved Admin-publications,DD1 9QJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Publications,Energy And Security - Energy Development And Resilience,Dc Thomson And Company Ltd,370773,5805,Mf Devolved Admin-publications,DD1 9QJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy And Security - Energy Development And Resilience,"Personal Expense, Name Withheld",372934,56.97,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Training And Development Expenditure,Energy And Security - Energy Development And Resilience,Oilennium Ltd,370219,365,Offshore Environmental Permits-training And Development Expenditure,NR30 1JE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Other Professional Services,Energy And Security - Energy Development And Resilience,Jncc Support Co,370533,40004.57,Offshore Environmental Permits-other Professional Services,PE1 1JY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Other Staff Welfare Costs,Energy And Security - Energy Development And Resilience,Granite Occupational Health Ltd,370548,175,Offshore Environmental Permits-other Staff Welfare Costs,AB32 6FJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Other Staff Welfare Costs,Energy And Security - Energy Development And Resilience,Granite Occupational Health Ltd,370549,142.4,Offshore Environmental Permits-other Staff Welfare Costs,AB32 6FJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Publications,Energy And Security - Energy Development And Resilience,The Stationery Office Ltd,370616,462.06,Offshore Environmental Permits-publications,NR3 1QZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Publications,Energy And Security - Energy Development And Resilience,The Stationery Office Ltd,370621,462.06,Offshore Environmental Permits-publications,NR3 1QZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Publications,Energy And Security - Energy Development And Resilience,The Stationery Office Ltd,370622,462.06,Offshore Environmental Permits-publications,NR3 1QZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Publications,Energy And Security - Energy Development And Resilience,The Stationery Office Ltd,370624,3.6,Offshore Environmental Permits-publications,NR3 1QZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Publications,Energy And Security - Energy Development And Resilience,The Stationery Office Ltd,370626,2.2,Offshore Environmental Permits-publications,NR3 1QZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Publications,Energy And Security - Energy Development And Resilience,The Stationery Office Ltd,370627,2.15,Offshore Environmental Permits-publications,NR3 1QZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Stationery,Energy And Security - Energy Development And Resilience,"Personal Expense, Name Withheld",370866,120,Offshore Environmental Permits-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Other Professional Services,Energy And Security - Energy Development And Resilience,Genesis Oil & Gas Consultants Ltd,371665,8196,Ogmrp (Oil And Gas Maximising Recovery Projects)-Other Professional Services,EC4M 8AP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Other Professional Services,Energy And Security - Energy Development And Resilience,Genesis Oil & Gas Consultants Ltd,371671,2150.4,Ogmrp (Oil And Gas Maximising Recovery Projects)-Other Professional Services,EC4M 8AP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Other Staff Welfare Costs,Energy And Security - Energy Development And Resilience,Granite Occupational Health Ltd,371677,270,Offshore Environmental Permits-other Staff Welfare Costs,AB32 6FJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Taxi Services Uk,Energy And Security - Energy Development And Resilience,"Personal Expense, Name Withheld",371690,36,Offshore Environmental Permits-taxi Services Uk,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Ict Outsourcing & Maintenance/Support,Energy And Security - Energy Development And Resilience,Fivium Ltd,371724,2556,Oil And Gas It Environmental Portal Costs-ict Outsourcing & Maintenance/Support,WC2N 6AH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Ict Outsourcing & Maintenance/Support,Energy And Security - Energy Development And Resilience,Fivium Ltd,372588,1471.14,Oil And Gas It Environmental Portal Costs-ict Outsourcing & Maintenance/Support,W1F 7LD,VENDOR,,,,,,,,,,,,,,,,,,
