Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,30/05/2022,Telecomms + IT non capital,Strategic Command,BANNER GROUP LIMITED,S9 1XU,627864,IT+Comms Internal Costs,£20.77
Ministry of Defence,Ministry of Defence,24/05/2022,Med/Welfare/Soc+Rec Costs,Air Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007818,Medical Costs,£20.67
Ministry of Defence,Ministry of Defence,09/05/2022,Buildings Maintenance,Army Command,EMERGENT CROWN CONTRACT OFFICE FURNISHINGS LIMITED,HX3 8EF,623477,Buildings Maintenance,£20.04
Ministry of Defence,Ministry of Defence,06/05/2022,Telecomms + IT non capital,Air Command,BOXXE LIMITED,YO31 7RE,623225,IT+Comms Internal Costs,£19.31
Ministry of Defence,Ministry of Defence,30/05/2022,Other Materiel Consumed,Navy Command,BANNER GROUP LIMITED,S9 1XU,627864,Other Materiel Consumed,£19.22
Ministry of Defence,Ministry of Defence,20/05/2022,Telecomms + IT non capital,DEFENCE INFRASTRUCTURE ORGANISATION,AKHTER COMPUTERS LIMITED,CM18 7PN,626453,IT+Comms Internal Costs,£19.13
Ministry of Defence,Ministry of Defence,11/05/2022,Telecomms + IT non capital,Air Command,BANNER GROUP LIMITED,S9 1XU,624123,IT+Comms Internal Costs,£18.98
Ministry of Defence,Ministry of Defence,05/05/2022,Fuels Non Utilities Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007759,Fuels Non Utilities Consumed,£18.68
Ministry of Defence,Ministry of Defence,03/05/2022,Fees for Prof Services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007755,Fees for Other Prof Services,£17.93
Ministry of Defence,Ministry of Defence,18/05/2022,Med/Welfare/Soc+Rec Costs,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007795,Medical Costs,£17.20
Ministry of Defence,Ministry of Defence,12/05/2022,Heating Oil+Utilities Consumed,Air Command,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,624463,Gas,£16.60
Ministry of Defence,Ministry of Defence,26/05/2022,Telecomms + IT non capital,Air Command,INSIGHT DIRECT (U K) LTD,S9 2BU,627297,IT+Comms Internal Costs,£15.96
Ministry of Defence,Ministry of Defence,06/05/2022,Telecomms + IT non capital,Strategic Command,XMA LTD,NG11 7EP,623341,IT+Comms Internal Costs,£15.43
Ministry of Defence,Ministry of Defence,19/05/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,625906,IT+Comms Internal Costs,£15.08
